merchantpay_dig,account_usage,no_account_insufficient_funds,emergency_fund_source,female,received_public_pension,respondent_id,wages_mobile,survey_weight,account_ownership,mobile_money_activity,received_wages,saved_bank,saved_mobile_money,received_transfers,recieved_wages,made_utility_payment,received_acc_balance_info,store_money_account,agriculture_payment_account,ever_had_mobile_money_account,mobile_money_usage,utility_payment,economycode,no_mobile_account_lack_documentation,any_digital_payment,received_agriculture_payment,no_account_lack_of_trust,no_account_distance,credit_card_ownership,education_level,survey_year,borrowed_from_family_friends,no_account_too_expensive,agricultural_payment_mobile,no_account_documentation,borrowed_from_formal_bank,utility_payment_cash,mobile_money_send_recieve,sent_domestic_remittance_account,no_mobile_agents_far,applied_for_mobile_loan,financial_instituion_account,wages_card,utility_payment_bank,mobile_money_transaction,no_mobile_account_too_expensive,wage_payment_method,no_account_family_member,age,saved_money,recieved_agricultural_payment,borrowed_from_savings_club,borrowed_money,account_ownership,received_goverment_transfer,agri_payment_card,income_quintile,world_bank_region,account_transaction_activity,emergency_fund_access,debit_card_ownership,agri_payment_bank,mobile_money_account,utility_payment_mobile,agri_payment_mobile,financial_health_indicator,ever_had_bank_account,wages_bank_account,employment_status,debit_card_ownership,agriculture_payment_method,adult_population,emergency_funds,high_withdrawal_fee_wages,economy,codes_found,gender,age_group,education_original
0.0,1.0,,2.0,1,2.0,203237558,,0.560958796,1.0,,4.0,1.0,2.0,1.0,2.0,2.0,1.0,,1.0,2.0,,4.0,THA,,1.0,4.0,,,1.0,3.0,2021,2.0,,1.0,,2.0,,,2.0,2.0,2.0,1,,,,2.0,,,45.0,1.0,2.0,,0.0,1,1.0,,Q4,East Asia & Pacific (excluding high income),2.0,2.0,2.0,,1.0,,,3.0,,,1.0,1,,58246340.0,5.0,,Thailand,False,Female,40_49,3.0
1.0,1.0,,2.0,2,2.0,164478595,,0.988370097,2.0,,4.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,,1.0,THA,3.0,1.0,4.0,,,1.0,2.0,2021,1.0,,1.0,,2.0,,,1.0,1.0,2.0,1,,2.0,,1.0,,,21.0,1.0,2.0,,1.0,1,1.0,,Q5 Highest,East Asia & Pacific (excluding high income),2.0,3.0,2.0,,1.0,1.0,,2.0,,,2.0,1,,58246340.0,2.0,,Thailand,False,Male,18_22,2.0
1.0,1.0,,3.0,1,2.0,178905768,2.0,0.439869775,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,2.0,1.0,THA,1.0,1.0,4.0,,,1.0,3.0,2021,1.0,,1.0,,2.0,,1.0,1.0,1.0,2.0,1,,1.0,1.0,1.0,2.0,,22.0,1.0,2.0,,1.0,1,1.0,,Q3,East Asia & Pacific (excluding high income),2.0,3.0,2.0,,1.0,1.0,,,,1.0,1.0,1,,58246340.0,2.0,2.0,Thailand,False,Female,18_22,3.0
1.0,1.0,,1.0,2,2.0,181646671,2.0,3.439763935,2.0,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,1.0,2.0,,2.0,THA,,1.0,4.0,,,1.0,1.0,2021,1.0,,1.0,,2.0,1.0,,1.0,1.0,1.0,1,,2.0,,2.0,2.0,,41.0,0.0,2.0,,1.0,1,1.0,,Q4,East Asia & Pacific (excluding high income),2.0,1.0,2.0,,1.0,2.0,,1.0,,1.0,1.0,1,,58246340.0,2.0,2.0,Thailand,False,Male,40_49,1.0
1.0,1.0,,3.0,1,2.0,162597429,2.0,0.439869775,1.0,,2.0,2.0,2.0,4.0,1.0,2.0,1.0,,,1.0,,4.0,THA,3.0,1.0,4.0,,,1.0,2.0,2021,2.0,,,,2.0,,,1.0,2.0,2.0,1,1.0,,,1.0,2.0,,20.0,1.0,2.0,,0.0,1,2.0,,Q1 Lowest,East Asia & Pacific (excluding high income),2.0,3.0,1.0,,0.0,,,,,2.0,1.0,1,,58246340.0,2.0,,Thailand,False,Female,18_22,2.0
1.0,2.0,,1.0,1,2.0,136947154,2.0,0.498550996,2.0,,2.0,1.0,2.0,1.0,1.0,2.0,,,1.0,2.0,,4.0,THA,,1.0,4.0,,,1.0,1.0,2021,1.0,,1.0,,2.0,,,2.0,2.0,2.0,1,1.0,,,2.0,2.0,,57.0,1.0,2.0,,1.0,1,1.0,,Q1 Lowest,East Asia & Pacific (excluding high income),2.0,1.0,2.0,,1.0,,,3.0,,2.0,1.0,1,,58246340.0,2.0,,Thailand,False,Female,50_59,1.0
0.0,,2.0,1.0,1,2.0,136151491,2.0,1.357969716,,,2.0,2.0,2.0,4.0,1.0,1.0,,,,2.0,,2.0,THA,,1.0,1.0,1.0,1.0,,2.0,2021,2.0,1.0,,2.0,2.0,1.0,,2.0,2.0,2.0,1,1.0,2.0,,2.0,2.0,2.0,40.0,0.0,1.0,,0.0,1,2.0,,Q3,East Asia & Pacific (excluding high income),,2.0,,1.0,0.0,2.0,2.0,3.0,,2.0,1.0,2,,58246340.0,2.0,,Thailand,False,Female,40_49,2.0
0.0,2.0,,3.0,2,2.0,141276749,2.0,0.350293803,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,2.0,1.0,,2.0,THA,,1.0,4.0,,,1.0,3.0,2021,1.0,,1.0,,2.0,1.0,,1.0,2.0,2.0,1,,2.0,,2.0,2.0,,50.0,1.0,2.0,,1.0,1,1.0,,Q4,East Asia & Pacific (excluding high income),2.0,3.0,2.0,,1.0,2.0,,,,1.0,1.0,1,,58246340.0,2.0,2.0,Thailand,False,Male,50_59,3.0
0.0,2.0,,1.0,1,2.0,159343129,,0.514490215,1.0,,4.0,1.0,2.0,4.0,2.0,2.0,2.0,,,2.0,,4.0,THA,,1.0,4.0,,,1.0,1.0,2021,1.0,,,,2.0,,,2.0,2.0,2.0,1,,,,2.0,,,42.0,1.0,2.0,,1.0,1,2.0,,Q3,East Asia & Pacific (excluding high income),2.0,1.0,,,0.0,,,,,,1.0,2,,58246340.0,2.0,,Thailand,False,Female,40_49,1.0
1.0,1.0,,2.0,2,2.0,209362150,3.0,0.462325869,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,1.0,2.0,4.0,THA,2.0,1.0,4.0,,,1.0,1.0,2021,1.0,,1.0,,2.0,,1.0,1.0,1.0,2.0,1,,,1.0,1.0,1.0,,38.0,1.0,2.0,,1.0,1,1.0,,Q5 Highest,East Asia & Pacific (excluding high income),2.0,2.0,2.0,,1.0,,,,,1.0,1.0,1,,58246340.0,2.0,3.0,Thailand,False,Male,30_39,1.0
1.0,1.0,,3.0,2,2.0,185843875,1.0,0.404584751,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,THA,2.0,1.0,4.0,,,1.0,3.0,2021,2.0,,1.0,,2.0,1.0,,1.0,1.0,2.0,1,,2.0,,1.0,2.0,,52.0,1.0,2.0,,1.0,1,1.0,,Q4,East Asia & Pacific (excluding high income),1.0,3.0,2.0,,1.0,2.0,,,,1.0,1.0,1,,58246340.0,1.0,2.0,Thailand,False,Male,50_59,3.0
1.0,1.0,,3.0,2,2.0,145540887,2.0,0.138056999,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,2.0,1.0,THA,3.0,1.0,4.0,,,1.0,3.0,2021,2.0,,2.0,,2.0,,1.0,1.0,1.0,2.0,1,,1.0,1.0,1.0,1.0,,60.0,1.0,2.0,,0.0,1,1.0,,Q3,East Asia & Pacific (excluding high income),2.0,3.0,1.0,,1.0,1.0,,,,1.0,1.0,1,,58246340.0,1.0,2.0,Thailand,False,Male,60_69,3.0
0.0,2.0,,2.0,2,2.0,113995745,2.0,1.27787695,1.0,,1.0,2.0,2.0,4.0,1.0,2.0,2.0,,,2.0,,4.0,THA,,1.0,4.0,,,1.0,2.0,2021,2.0,,,,2.0,,,2.0,2.0,2.0,1,,,,2.0,2.0,,40.0,0.0,2.0,,0.0,1,2.0,,Q3,East Asia & Pacific (excluding high income),2.0,2.0,,,0.0,,,,,1.0,1.0,2,,58246340.0,5.0,2.0,Thailand,False,Male,40_49,2.0
1.0,1.0,,3.0,2,2.0,206415577,2.0,0.146375593,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,2.0,1.0,,1.0,THA,,1.0,4.0,,,1.0,3.0,2021,2.0,,1.0,,2.0,,,2.0,1.0,2.0,1,,1.0,,2.0,2.0,,45.0,1.0,2.0,,0.0,1,1.0,,Q5 Highest,East Asia & Pacific (excluding high income),2.0,3.0,,,1.0,2.0,,,,1.0,1.0,2,,58246340.0,1.0,2.0,Thailand,False,Male,40_49,3.0
1.0,1.0,,3.0,1,2.0,204747746,1.0,0.640126926,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,THA,3.0,1.0,4.0,,,1.0,3.0,2021,2.0,,1.0,,2.0,,2.0,1.0,1.0,2.0,1,,1.0,1.0,1.0,2.0,,40.0,1.0,2.0,,0.0,1,1.0,,Q5 Highest,East Asia & Pacific (excluding high income),2.0,3.0,2.0,,1.0,1.0,,,,1.0,1.0,1,,58246340.0,2.0,1.0,Thailand,False,Female,40_49,3.0
1.0,1.0,,1.0,1,2.0,146894031,,0.634738303,1.0,,4.0,1.0,2.0,1.0,2.0,1.0,2.0,,1.0,1.0,,2.0,THA,3.0,1.0,4.0,,,1.0,3.0,2021,2.0,,1.0,,2.0,1.0,,2.0,1.0,2.0,1,,2.0,,1.0,,,39.0,1.0,2.0,,0.0,1,1.0,,Q3,East Asia & Pacific (excluding high income),2.0,3.0,,,1.0,2.0,,,,,1.0,2,,58246340.0,2.0,,Thailand,False,Female,30_39,3.0
